Year,System,Produkt,Rezeptur,Soll,Leistung,Runtime_hours,Setup_min_time_before,Order_rank,Start,Ende,Min,Datum,Tag,FilePath
2021,H2,100G Knusperkeks,A-214,66.2,3109.40499,0.02129,91.21666666666667,2,22:00,19:26,60,13.09.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 37 Version 2.xlsx
2021,H3,100G Pfefferminz,A-28,58.2,4396.200814,0.013239,80.01666666666662,6,22:00,12:34,54,13.09.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 37 Version 2.xlsx
2021,H2,100G Waffel,A-220,25.3,3306.122449,0.007652,123.46666666666663,,22:00,05:42,20,04.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 1.xlsx
2021,H3,100G Nugat,A-26,60.1,3326.488706,0.018067,50.683333333333394,2,22:00:00,11:50:00,50,04.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 1.xlsx
2021,H2,250G Cranberry Nuss,A-624,16.2,,,,,23:50,05:45,14,06.10.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 3.xlsx
2021,H2,250G Nugat,A-601,24.2,3076.923077,0.007865,92.06666666666669,14,07:15,16:03,20,06.10.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 3.xlsx
2021,H2,250G Cranberry Nuss,A-624,16.2,,,,,23:50,05:45,14,06.10.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 3.xlsx
2021,H2,250G Nugat,A-601,24.2,3076.923077,0.007865,92.06666666666669,14,07:15,16:03,20,06.10.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 3.xlsx
2021,H2,250G Goldschatz,A-606,20.3,2916.291629,0.006961,41.43333333333326,8,13:22,20:24,15,07.10.,Do,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 3.xlsx
2021,H2,100G Waffel,A-220,25.3,3306.122449,0.007652,123.46666666666663,,22:00,05:42,20,04.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version 1.xlsx
2021,H3,100G Nugat,A-26,60.1,3326.488706,0.018067,50.683333333333394,2,22:00,11:48,50,04.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version X.xlsx
2021,H2,100G SPEKULATIUS,A-281,30.4,,,,,03:42,16:32:00,25,05.10.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version X.xlsx
2021,H2,250G Weiss + Crisp,A-611,10.4,,,,,18:32,21:56,8,05.10.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version X.xlsx
2021,H3,100G Halbbitter,A-20,25.0,4396.200814,0.005687,93.89999999999995,5,13:42,19:26,20,05.10.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 40 Version X.xlsx
2021,H2,100G Knusperkeks,A-214,35.6,3109.40499,0.011449,91.21666666666667,2,22:00,10:32:00,30,11.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 41 Version 1.xlsx
2021,H2,100G Waffel,A-220,26.5,3306.122449,0.008015,123.46666666666663,,22:00,06:15,20,18.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 1.xlsx
2021,H3,100G Kakao-Mousse,A-294,58.2,4039.900249,0.014406,26.416666666666657,1,22:00,12:34,54,18.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 1.xlsx
2021,H2,100G Knusperkeks,A-214,38.3,3109.40499,0.012317,91.21666666666667,2,07:45,20:10,30,18.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 1.xlsx
2021,H2,100G Nuss-Splitter(*),A-222,12.8734693877551,4468.965517,0.002881,0.08333333333333337,,22:00,01:48,20,18.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 2.xlsx
2021,H3,100G Kakao-Mousse,A-294,59.2,4039.900249,0.014654,26.416666666666657,1,22:00,12:49,54,18.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 2.xlsx
2021,H2,100G Waffel,A-220,25.8,3306.122449,0.007804,123.46666666666663,,22:00:00,09:41,20,18.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 2.xlsx
2021,H3,100G Joghurt,A-27,32.2,4396.200814,0.007325,75.46666666666665,3,09:28,16:51,24,19.10.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 2.xlsx
2021,H2,250G Cranberry Nuss,A-624,18.3,,,,,23:06,05:48,15,20.10.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 2.xlsx
2021,H3,100G Pfefferminz,A-28,40.2,4396.200814,0.009144,80.01666666666662,6,06:25,16:28,30,20.10.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 42 Version 2.xlsx
2021,H2,100G Knusperkeks,A-214,40.2,3109.40499,0.012929,91.21666666666667,2,22:00:00,12:32:00,32,25.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 43 Version 1.xlsx
2021,H3,100G Nugat,A-26,76.1,3326.488706,0.022877,50.683333333333394,2,22:00,15:29,70,25.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 43 Version 1.xlsx
2021,H3,100G Joghurt,A-27,25.1,4396.200814,0.005709,75.46666666666665,3,16:14,21:59,20,25.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 43 Version 1.xlsx
2021,H2,KK 100G Ghana 81%,A-938,20.2,3596.00444,0.005617,58.98333333333327,4,13:52,19:31,15,25.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 43 Version 1.xlsx
2021,H2,100G Waffel,A-220,26.6,3306.122449,0.008046,123.46666666666663,,22:00,06:06,24,02.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 44 Version 1.xlsx
2021,H3,100G Kakao-Mousse,A-294,46.3,4039.900249,0.011461,26.416666666666657,1,22:00,09:34,42,02.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 44 Version 1.xlsx
2021,H2,100G Knusperkeks,A-214,36.4,3109.40499,0.011706,91.21666666666667,2,08:06,19:54,30,02.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 44 Version 1.xlsx
2021,H2,100G Knusperkeks,A-214,44.10000000000001,3109.40499,0.014183,91.21666666666667,2,22:00,13:17:00,40,08.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H2,KK 100G Nicaragua 61%(*),A-932,25.79768421052632,3596.00444,0.007174,90.49999999999996,6,14:47,22:00,20,08.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H2,100G Knusperkeks,A-214,44.10000000000001,3109.40499,0.014183,91.21666666666667,2,22:00,13:17:00,40,08.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H2,KK 100G Nicaragua 61%(*),A-932,25.79768421052632,3596.00444,0.007174,90.49999999999996,6,14:47,22:00,20,08.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H2,KK 100G Peru 74%,A-933,42.0,3596.00444,0.01168,73.96666666666661,5,23:42,11:28,35,09.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H3,100G Joghurt,A-27,36.6,4396.200814,0.008325,75.46666666666665,3,04:11,12:36,26,09.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
